Date;JPM
12/10/2012;35.433395
15/10/2012;36.080433
16/10/2012;36.463543
17/10/2012;36.880699
18/10/2012;36.616779
19/10/2012;36.029343
22/10/2012;35.833527
23/10/2012;35.186508
24/10/2012;35.510017
25/10/2012;35.475964
26/10/2012;35.041775
31/10/2012;35.484478
01/11/2012;36.472054
02/11/2012;36.114471
05/11/2012;35.986786
06/11/2012;36.5061
07/11/2012;34.462845
08/11/2012;34.394741
09/11/2012;34.582039
12/11/2012;34.547993
13/11/2012;34.088249
14/11/2012;33.449749
15/11/2012;33.53487
16/11/2012;33.654057
19/11/2012;34.556503
20/11/2012;34.650146
21/11/2012;34.67569
23/11/2012;34.982174
26/11/2012;34.803398
27/11/2012;34.692711
28/11/2012;34.760838
29/11/2012;35.092854
30/11/2012;34.97366
03/12/2012;34.743813
04/12/2012;34.539474
05/12/2012;35.075825
06/12/2012;35.305695
07/12/2012;36.233665
10/12/2012;36.02084
11/12/2012;36.301769
12/12/2012;36.412449
13/12/2012;36.420959
14/12/2012;36.446514
17/12/2012;37.016922
18/12/2012;37.348949
19/12/2012;37.059475
20/12/2012;37.910839
21/12/2012;37.459625
24/12/2012;37.391506
26/12/2012;37.425564
27/12/2012;37.144623
28/12/2012;36.812599
31/12/2012;37.434078
02/01/2013;38.282707
03/01/2013;38.205559
04/01/2013;38.882755
07/01/2013;38.925617
08/01/2013;39.002773
09/01/2013;38.977051
10/01/2013;39.559944
11/01/2013;39.551376
14/01/2013;39.328499
15/01/2013;39.731384
16/01/2013;40.134266
17/01/2013;39.808537
18/01/2013;39.825676
22/01/2013;39.894241
23/01/2013;39.628521
24/01/2013;39.748516
25/01/2013;40.425716
28/01/2013;39.979977
29/01/2013;40.391434
30/01/2013;40.400005
31/01/2013;40.331417
01/02/2013;41.017189
04/02/2013;40.871471
05/02/2013;41.822964
06/02/2013;41.668667
07/02/2013;41.342934
08/02/2013;41.68581
11/02/2013;41.711536
12/02/2013;42.122982
13/02/2013;41.728672
14/02/2013;42.191555
15/02/2013;41.900116
19/02/2013;42.388721
20/02/2013;41.668667
21/02/2013;41.360065
22/02/2013;41.925831
25/02/2013;40.888607
26/02/2013;40.802887
27/02/2013;42.242992
28/02/2013;41.934399
01/03/2013;41.925831
04/03/2013;42.088684
05/03/2013;42.423012
06/03/2013;42.885887
07/03/2013;43.400219
08/03/2013;43.031624
11/03/2013;43.271633
12/03/2013;43.100193
13/03/2013;42.997334
14/03/2013;43.717377
15/03/2013;42.877319
18/03/2013;42.440144
19/03/2013;42.174416
20/03/2013;42.105843
21/03/2013;41.445789
22/03/2013;41.814392
25/03/2013;41.591518
26/03/2013;41.694386
27/03/2013;40.948616
28/03/2013;40.68288
01/04/2013;41.000053
02/04/2013;41.385788
03/04/2013;40.411091
04/04/2013;40.963142
05/04/2013;41.325417
08/04/2013;41.903336
09/04/2013;41.989578
10/04/2013;42.481247
11/04/2013;42.532993
12/04/2013;42.27422
15/04/2013;41.342659
16/04/2013;41.825703
17/04/2013;40.359329
18/04/2013;40.229954
19/04/2013;40.738869
22/04/2013;40.842377
23/04/2013;41.549671
24/04/2013;42.024078
25/04/2013;42.265617
26/04/2013;42.162102
29/04/2013;42.196587
30/04/2013;42.27422
01/05/2013;41.411659
02/05/2013;41.472054
03/05/2013;41.032139
06/05/2013;41.5583
07/05/2013;42.38636
08/05/2013;42.921158
09/05/2013;42.30011
10/05/2013;42.231102
13/05/2013;42.843525
14/05/2013;43.326557
15/05/2013;44.068363
16/05/2013;43.964859
17/05/2013;45.112057
20/05/2013;45.103428
21/05/2013;45.733101
22/05/2013;46.25927
23/05/2013;46.01775
24/05/2013;46.285149
28/05/2013;47.095955
29/05/2013;47.156338
30/05/2013;47.975777
31/05/2013;47.087337
03/06/2013;47.001068
04/06/2013;46.612911
05/06/2013;45.741734
06/06/2013;46.147137
07/06/2013;46.811314
10/06/2013;46.88895
11/06/2013;46.138512
12/06/2013;45.87112
13/06/2013;46.725052
14/06/2013;45.827991
17/06/2013;46.449036
18/06/2013;46.673294
19/06/2013;46.190258
20/06/2013;45.267315
21/06/2013;44.81879
24/06/2013;43.921722
25/06/2013;44.922302
26/06/2013;45.284576
27/06/2013;45.845245
28/06/2013;45.53471
01/07/2013;45.275959
02/07/2013;45.875454
03/07/2013;45.849396
05/07/2013;46.909393
08/07/2013;47.526276
09/07/2013;47.691364
10/07/2013;47.639225
11/07/2013;47.908569
12/07/2013;47.760868
15/07/2013;47.691364
16/07/2013;47.795624
17/07/2013;48.021519
18/07/2013;48.977257
19/07/2013;48.794804
22/07/2013;49.142353
23/07/2013;49.237919
24/07/2013;49.203171
25/07/2013;49.09021
26/07/2013;48.699234
29/07/2013;48.386436
30/07/2013;48.073662
31/07/2013;48.421188
01/08/2013;49.124969
02/08/2013;49.08152
05/08/2013;48.742672
06/08/2013;48.212677
07/08/2013;48.047585
08/08/2013;47.639225
09/08/2013;47.369888
12/08/2013;46.996277
13/08/2013;47.170048
14/08/2013;47.048412
15/08/2013;46.301186
16/08/2013;46.301186
19/08/2013;45.032669
20/08/2013;45.28463
21/08/2013;44.858902
22/08/2013;45.362835
23/08/2013;45.458405
26/08/2013;45.006611
27/08/2013;43.963982
28/08/2013;43.946609
29/08/2013;44.050858
30/08/2013;43.903152
03/09/2013;44.424477
04/09/2013;45.067417
05/09/2013;45.275948
06/09/2013;45.666935
09/09/2013;45.927589
10/09/2013;46.631355
11/09/2013;46.27512
12/09/2013;45.388901
13/09/2013;45.692997
16/09/2013;46.17086
17/09/2013;46.127426
18/09/2013;46.405453
19/09/2013;45.832016
20/09/2013;45.875454
23/09/2013;44.711193
24/09/2013;43.720692
25/09/2013;44.919716
26/09/2013;45.084801
27/09/2013;45.388901
30/09/2013;44.911034
01/10/2013;45.145622
02/10/2013;45.591995
